"Build your query using a json.<br/>
For example :<br/>
<pre>
{
    ""search"": {
        ""enabled"": [{
            ""operator"": ""="",
            ""value"": true
        }],
        ""sku"": [{
            ""operator"": ""STARTS WITH"",
            ""value"": ""A""
        }]
    },
    ""scope"": ""ecommerce"",
    ""locales"": ""fr_FR,de_DE""
}</pre>","Erstelle deine Suchanfrage mit einem json.<br/>
Zum Beispiel :<br/>
<pre>
{
    ""search"": {
        ""enabled"": [{
            ""operator"": ""="",
            ""value"": true
        }],
        ""sku"": [{
            ""operator"": ""STARTS WITH"",
            ""value"": ""A""
        }]
    },
    ""scope"": ""ecommerce"",
    ""locales"": ""fr_FR,de_DE""
}</pre>"
"%1 Import already running","%1 Import läuft bereits"
"%1 Import code not found","%1 Import-Code nicht gefunden"
"%1 Start import","%1 Import starten"
"--code","--code"
"Activate new categories","Activ Kategorien"
"Admin Website Channel","Admin Website-Kanal"
"Advanced filters contain an unauthorized scope, please add check your filters and website mapping.","Erweiterte Filter enthalten einen nicht autorisierten umfang. Bitte überprüfen Sie Ihre Filter und das Website-Mapping."
"After","Nach dem"
"Akeneo API client ID","Akeneo API-Client-ID"
"Akeneo API client secret","Akeneo-API-Client-Geheimnis"
"Akeneo API Configuration","Akeneo-API-Konfiguration"
"Akeneo base URL","Akeneo Basis-URL"
"Akeneo File Attributes","Attribute für Akeneo-Dateien"
"Akeneo password","Akeneo Passwort"
"Akeneo username","Akeneo Benutzername"
"All files will be downloaded in the 'pub/media/akeneo_connector/media_files' folder.","Alle Dateien werden im Ordner 'pub/media/akeneo_connector/media_files' heruntergeladen."
"Set new categories in anchor mode","Verankern Kategorien"
"Area code already set","Ortsvorwahl bereits eingestellt"
"Available codes:","Verfügbare Codes:"
"Before","Vor"
"Between","Zwischen"
"Category","Kategorie"
"Categories","Kategorien"
"Channel","Kanal"
"Completeness type","Vollständigkeitstyp"
"Completeness value","Vollständigkeitswert"
"Could not insert Product data in temp table","Produktdaten konnten nicht in die Temp-Tabelle eingefügt werden."
"Differ","Unterscheiden"
"Disabled","Deaktiviert"
"Duplicates sku detected. Make sure Product Model code is not used for a simple product sku. Duplicates: %1","Duplicate sku detected. Make sure Product Model code is not used for a simple product sku. Duplicates: %1"
"Default Product Status","Standardproduktstatus"
"Default status for product creation<br/>If a product is updated, status won't be modified unless it is disabled in Akeneo","Standardstatus für die Produkterstellung<br/>Wenn ein Produkt aktualisiert wird, wird der Status nur geändert, wenn er in Akeneo deaktiviert ist"
"Enabled","Freigegeben"
"Mapping used in Serenity, Growth and V7.0 Akeneo edition. The SKU behavior now looks closer to a normal attribute. If empty, run a fault and stop the product flow.","Mapping verwendet in Serenity, Growth und V7.0 Akeneo Edition. Das SKU-Verhalten ähnelt jetzt eher einem normalen Attribut. Wenn leer, einen Fehler auslösen und den Produktfluss stoppen."
"Enter the code of the select or multiselect attribute used to associate products to your websites, leave blank to ignore","Geben Sie den Code des ausgewählten Attributs ein, das zum Zuordnen von Produkten zu Ihren Websites verwendet wird, und lassen Sie das Feld zum Ignorieren leer"
"Enter all PIM attributes containing product images. All images specified will be imported to the product image gallery.","Geben Sie alle PIM-Attribute ein, die Produktbilder enthalten. Alle angegebenen Bilder werden in die Produkt-Bildergalerie importiert."
"Equals","Gleich"
"Example:","Beispiel:"
"Extension Version","Modul Version"
"Families","Familie"
"Filter Products","Filterprodukte"
"Fill configurable attributes with default value, leave blank to take simple product value or Product Model value if exists. Value must be a chain between quotes or an SQL statement.","Füllen Sie konfigurierbare Attribute mit einem Standardwert, lassen Sie das Feld leer, um einen einfachen Produktwert oder einen Produktmodellwert zu erhalten, falls vorhanden. Der Wert muss eine SQL-Anweisung oder zwischen Anführungszeichen sein."
"General","Allgemeines"
"Greater or equals than on all locales","Größer oder gleich als in allen Gebietsschemata"
"Greater or equals than","Größer oder gleich"
"Greater than on all locales","Größer als in allen Gebietsschemata"
"Greater than","Größer als"
"Import API","API importieren"
"Import File Attributes","Dateiattribute importieren"
"Import ID : %1","Import-ID: %1"
"Import Image Attributes","Mediendateien importieren"
"Import only product updated after the given date. Leave at least one blank for no filter.","Nur Produkte importieren, die seit nach dem angegebenen Datum aktualisiert wurden. Lassen Sie das Feld leer, um keinen Filter zu verwenden."
"Import only product updated after the given date. Leave blank for no filter.","Nur Produkte importieren, die seit nach dem angegebenen Datum aktualisiert wurden Lassen Sie das Feld leer, um keinen Filter zu verwenden."
"Import only product updated before the given date. Leave at least one blank for no filter.","Nur Produkte importieren, die seit vor den angegebenen Datum aktualisiert wurden Lassen Sie das Feld leer, um keinen Filter zu verwenden."
"Import only product updated before the given date. Leave blank for no filter.","Nur Produkte importieren, die seit vor den angegebenen Datum aktualisiert wurden Lassen Sie das Feld leer, um keinen Filter zu verwenden."
"Import only product updated since last X days. Leave blank for no filter.","Import only product updated since last X days. Leave blank for no filter."
"Import","Importieren"
"Does Akeneo data override content staging","Ist Akeneo Master für Content Staging"
"Map Magento/Adobe Commerce image type for products. Associate the image type option to a PIM attribute specified in the Akeneo Attribute for Image Gallery field. After import, all specified options will be filled by their image if provided.","Bildtyp ""Magento/Adobe Commerce"" für Produkte zuordnen. Ordnen Sie die Bildtypoption einem PIM-Attribut zu, das im Feld Akeneo-Attribut für Bildergalerie angegeben ist. Nach dem Import werden alle angegebenen Optionen mit ihrem Bild ausgefüllt, sofern dies angegeben ist."
"Newly imported categories will be activated","Importiert Kategorien activ sind"
"Newly imported categories will be in anchor mode","Importiert Kategorien verankern sind"
"Newly imported categories categories will be included in menu","Importiert Kategorien in Menü begriffen sind"
"Include new categories in menu","Begriffen in Menü"
"Label for '%1' in %2 is missing. ","Beschriftung für '%1' in %2 fehlt. "
"List all PIM file attributes you want to download when 'Import File Attributes' is enabled.<br />The path of each file will be imported to the corresponding product text attribute.<br />If 'Import File Attributes' is disabled, it won't override previously imported values from your file attributes in this field.","Listen Sie alle PIM-Dateiattribute auf, die Sie herunterladen möchten, wenn der Dateiimport aktiviert ist, oder behalten Sie sie bei, wenn der Dateiimport deaktiviert ist.<br />Die Pfade jeder Datei werden dem entsprechenden Produktattribut zugeordnet."
"Locales","Sprachumgebungen"
"Lower or equals than on all locales","Niedriger oder gleich als in allen Gebietsschemata"
"Lower or equals than","Niedriger oder gleich als"
"Lower than on all locales","Niedriger als in allen Gebietsschematas"
"Lower than","Niedriger als"
"Magento/Adobe Commerce Attribute","Magento/Adobe Commerce Attribut"
"Match Magento/Adobe Commerce website with Akeneo channel","Magento/Adobe Commerce Webseite mit Akeneo-Kanal verknüpfen"
"Media import is not enabled","Medienimport ist nicht aktiviert"
"Must be a value between 1 and 100. Default value is 100.","Muss ein Wert zwischen 1 und 100 sein. Der Standardwert ist 100."
"No category found","Keine Kategorie gefunden"
"No category to ignore","Keine Kategorie zum Ignorieren"
"No condition","Keine Kondition"
"No options found","Keine Optionen gefunden"
"No Product data to insert in temp table for scope: %s","Keine Produktdaten zum Einfügen in die Temp-Tabelle für den Umfang : %s"
"No results from Akeneo","Keine Ergebnisse von Akeneo"
"No website/channel mapped. Please check your configurations.","Keine Website / Kanal verknüpft. Bitte überprüfen Sie Ihre Konfigurationen."
"Options:","Optionen:"
"Pagination size","Seitengröße"
"Akeneo API connection error","Akeneo API verbindungsfehler"
"Akeneo Attribute","Akeneo-Attribut"
"Akeneo Images Attributes is empty","Akeneo-Bildattribute ist leer"
"Akeneo Attributes for Image Gallery","Akeneo-Attribute für die Bildergalerie"
"Akeneo Connector Section","Akeneo-Connector-Sektion"
"Akeneo Connector","Akeneo Connector"
"akeneo_connector:import --code=%1","akeneo_connector:import --code=%1"
"Product Image Association","Zuordnung für die Produktbildern"
"Select the categories you don't want to import.<br/> If the field is empty, it means you don't have any categories in your Akeneo, or the provided credentials are wrong.","Wählen Sie die Kategorien aus, die Sie nicht importieren möchten.<br/> Wenn der Multiselect leer ist, bedeutet dies, dass du keine Kategorien in deinem Akeneo hast, oder die angegebenen Zugangsdaten falsch sind"
"Select import type:","Import-Typ auswählen:"
"Select the channel to apply the completeness filter on","Wählen Sie den Kanal, auf dem der Vollständigkeitsfilter angewendet werden soll"
"Select the families you don't want to retrieve products from.<br/> If the multiselect is empty, it means you don't have any families in your Akeneo, or the provided credentials are wrong.","Wähle die Familien, aus denen du keine Produkte abrufen möchtest, aus.<br/> Wenn der Multiselect leer ist, bedeutet dies, dass du keine Familien in deinem Akeneo hast, oder die angegebenen Zugangsdaten falsch sind"
"Select the locales to apply the completeness filter on","Wählen Sie die Gebietsschemata, in denen der Vollständigkeitsfilter angewendet werden soll"
"Set Magento/Adobe Commerce Admin website default Akeneo channel","Konfigurieren Sie den Standard-Akeneo-Kanal der Magento/Adobe Commerce Admin-Website"
"Since last n days","Seit den letzten X Tagen"
"Since last X days","Seit den letzten X Tagen"
"Start import","Importieren starten"
"Status","Status"
"Test API credentials","Test API Anmeldedaten"
"The Akeneo user should have permissions to list","Der Akeneo-Benutzer sollte Berechtigungen zum Auflisten haben"
"The attribute %1 was skipped because its type is not the same between Akeneo and Magento/Adobe Commerce. Please delete it in Magento/Adobe Commerce and try a new import","Das Attribut lasst mit dre Code %1 aus. Sein Typ ist nicht der gleiche zwischen Akeneo und Magento/Adobe Commerce. Bitte löschen Sie es in Magento/Adobe Commerce und versuchen Sie es erneut"
The attribute %1 was not imported because it starts with a number. Update it in Akeneo and retry.","Das Attribut %1 wurde nicht importiert, da es mit einer Zahl beginnt. Aktualisieren Sie es in X und versuchen Sie es erneut."
"The connection is working fine","Die Verbindung funktioniert einwandfrei"
"Updated","Updated"
"Updated after","Aktualisiert nach dem"
"Updated before","Aktualisiert vor"
"Updated mode","Filtermodus"
"Updated since","Aktualisiert seit"
"Waiting for import...","Warten auf den Import..."
"Warning: %1 attribute does not exist","Warnung: %1 Attribut existiert nicht"
"Warning: The option %1 is not a website code.","Warnung: Die Option %1 ist kein Website-Code."
"Warning: The product with Akeneo id %1 has an option (%2) that does not correspond to a Magento/Adobe Commerce website.","Warnung: Das Produkt mit der Akeneo Id %1 verfügt über eine Option (%2), die keiner Magento/Adobe Commerce Website entspricht."
"Warning: The product with Akeneo id %1 has no associated website in the custom attribute.","Warnung: Das Produkt mit der Akeneo Id %1 hat keine Website im benutzerdefinierten Attribute zugeordnet ist."
"Warning: The website attribute code given does not match any Magento/Adobe Commerce attribute.","Warnung: Der angegebene Website-Attributcode stimmt mit keinem Magento/Adobe Commerce Attribut überein."
"Website Attribute","Website-Attribut"
"Website Mapping","Website-Mapping"
"Website","Webseite"
"Regenerate url rewrites","URL-Rewrites regenerieren"
"Url rewrite generation is not enabled","URL-Rewrites generation ist nich aktiviert"
"Metric Attributes","Metrikverwaltung"
"Akeneo Metric Attribute","Akeneo Metrikattribut"
"Used As Variant","Als Variante verwenden"
"Concat Metric Unit","Metrische Einheit zum Wert hinzufügen"
"No family to import","Keine Familie zu importieren"
"Info: No value found in the current batch for the attribute %1","Info: Im aktuellen Stapel wurde kein Wert für das Attribut gefunden %1"
"Mysql version not recognized","Mysql-Version nicht erkannt"
"Documentation link","Dokumentationslink"
"Filter Families","Filterfamilie"
"Between 4.0.0 and 4.0.62","Zwischen 4.0.0 und 4.0.62"
"4.0.62 or greater","4.0.62 oder größer"
"Export PDF","PDF exportieren"
"Akeneo Connector for Adobe Commerce - Configuration export","Akeneo Connector für Adobe Commerce - Konfigurationsexport"
"If you want to report a bug, ask a question or have a suggestion to make on Akeneo Connector for Adobe Commerce,","Wenn Sie einen Fehler melden möchten, stellen Sie eine Frage oder haben Sie einen Vorschlag für Akeneo Connector für Adobe Commerce,"
"please follow this steps to contact our Support Team","Bitte befolgen Sie diese Schritte, um unser Support-Team zu kontaktieren"
"Export your configuration","Exportieren Sie Ihre Konfiguration"
"Empty","Leer"
"Yes","Ja"
"No","Nein"
"Job(s) successfully reset","Jobs werden korrekt zurückgesetzt"
"The job %1 is already running","Der Job %1 läuft bereits"
"The job %1 is already scheduled","Der Job %1 ist bereits eingeplant"
"Job %1 correctly scheduled.","Job %1 korrekt geplant."
"Job %1 correctly scheduled. Please refresh the page in a few minutes to check the progress.","Job %1 korrekt geplant. Bitte aktualisieren Sie die Seite in einigen Minuten, um den Fortschritt zu überprüfen."
"You will receive an email when the job is completed.","Sie erhalten eine E-Mail, wenn der Auftrag abgeschlossen ist."
